	Value
BATTLE_ATK_WIN_WAR_TOKENS	3C
BATTLE_ATK_LOSS_WAR_TOKENS	1C
BATTLE_DEF_WIN_WAR_TOKENS	3C
BATTLE_DEF_LOSS_WAR_TOKENS	1C
FITNESS_DEFENSE_PENALTY	3
MAX_DEFENSIVE_BATTLES	12
MMR_SEARCH_INITIAL_RANGE	30
MMR_SEARCH_BACKOFF	25
MMR_SCALAR	400
MMR_K	32.99
INITIAL_MMR	500
BATTLE_WIN_STREAK_COUNT	3
BATTLE_WIN_STREAK_REWARD	30
BATTLE_WIN_STREAK_MAX_MMR	2000
MMR_DECAY_THRESHOLD	2000
MMR_DECAY_RATE	0.25
MAX_WAR_TICKET_STORAGE	3
ATTACKS_PER_BATTLE	3
MAX_BATTLES_PER_WAR	12
MIN_ELIGIBLE_MEMBERS	10
HANDICAP_SIZE	5
VICTORY_TARGET	0.7
BATTLE_GOLD_REWARD	2000L
SURRENDER_DISABLE_TIME	30 m
RECOMMENDED_POWER_SCALAR	0.9
MEMBER_DROP_KICK_THRESHOLD	0.5
TOP_LINEUP_BONUS_PERCENT	0.2
TOP_LINEUP_BONUS_AMOUNT	2
RETRIES_PER_ATTACK	1
RANK_MATCHMAKING_THRESHOLD	44
OPT_OUT_COOLDOWN_MINUTES	1440
