	HERO	BONUS	MAGNITUDE
0	AQUATIC_MAN	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
1	AQUATIC_MAN	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
2	AQUATIC_MAN	WATER_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
3	AQUATIC_MAN	COOLDOWN_REDUCTION	0.0023*(6S-2+(2^S)+(L+(L>14)*2)*S)
4	AQUATIC_MAN	DODGE	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
5	AQUATIC_MAN	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
6	BARDBARIAN	AGILITY	0.025*(6S-2+(2^S)+(L+(L>14)*2)*S)
7	BARDBARIAN	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
8	BARDBARIAN	ATTACK_DAMAGE	0.027*(6S-2+(2^S)+(L+(L>14)*2)*S)
9	BARDBARIAN	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
10	BARDBARIAN	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
11	BARDBARIAN	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
12	BONE_DRAGON	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
13	BONE_DRAGON	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
14	BONE_DRAGON	TOXIC_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
15	BONE_DRAGON	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
16	BONE_DRAGON	ARMOR_PENETRATION	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
17	BONE_DRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
18	BROZERKER	STRENGTH	0.024*(6S-2+(2^S)+(L+(L>14)*2)*S)
19	BROZERKER	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
20	BROZERKER	NECROTIC_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
21	BROZERKER	LARGER_SHIELDS	0.0066*(6S-2+(2^S)+(L+(L>14)*2)*S)
22	BROZERKER	IMPROVE_HEALING	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
23	BROZERKER	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
24	CATAPULT_KNIGHT	INTELLECT	0.027*(6S-2+(2^S)+(L+(L>14)*2)*S)
25	CATAPULT_KNIGHT	MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
26	CATAPULT_KNIGHT	MAGIC_POWER	0.072*(6S-2+(2^S)+(L+(L>14)*2)*S)
27	CATAPULT_KNIGHT	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
28	CATAPULT_KNIGHT	IGNORE_MAGIC_RESISTANCE	0.01*(6S-2+(2^S)+(L+(L>14)*2)*S)
29	CATAPULT_KNIGHT	SKILL_LEVEL	0.08*(6S-2+(2^S)+(L+(L>14)*2)*S)
30	CENTAUR_OF_ATTENTION	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
31	CENTAUR_OF_ATTENTION	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
32	CENTAUR_OF_ATTENTION	BASHING_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
33	CENTAUR_OF_ATTENTION	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
34	CENTAUR_OF_ATTENTION	ENERGY_WHEN_ATTACKED	0.27*(6S-2+(2^S)+(L+(L>14)*2)*S)
35	CENTAUR_OF_ATTENTION	ARMOR_PENETRATION	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
36	COSMIC_ELF	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
37	COSMIC_ELF	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
38	COSMIC_ELF	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
39	COSMIC_ELF	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
40	COSMIC_ELF	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
41	COSMIC_ELF	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
42	CRIMSON_WITCH	AGILITY	0.025*(6S-2+(2^S)+(L+(L>14)*2)*S)
43	CRIMSON_WITCH	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
44	CRIMSON_WITCH	NECROTIC_DMG_AMP	0.0011*(6S-2+(2^S)+(L+(L>14)*2)*S)
45	CRIMSON_WITCH	LONGER_DISABLES	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
46	CRIMSON_WITCH	MOVEMENT_SPEED_MODIFIER	0.0032*(6S-2+(2^S)+(L+(L>14)*2)*S)
47	CRIMSON_WITCH	COOLDOWN_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
48	DARK_DRACUL	INTELLECT	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
49	DARK_DRACUL	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
50	DARK_DRACUL	NECROTIC_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
51	DARK_DRACUL	PIERCING_DMG_AMP	0.0014*(6S-2+(2^S)+(L+(L>14)*2)*S)
52	DARK_DRACUL	MAGIC_POWER	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
53	DARK_DRACUL	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
54	DARK_HORSE	STRENGTH	0.024*(6S-2+(2^S)+(L+(L>14)*2)*S)
55	DARK_HORSE	ARMOR	0.02*(6S-2+(2^S)+(L+(L>14)*2)*S)
56	DARK_HORSE	BASHING_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
57	DARK_HORSE	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
58	DARK_HORSE	MOVEMENT_SPEED_MODIFIER	0.0048*(6S-2+(2^S)+(L+(L>14)*2)*S)
59	DARK_HORSE	LARGER_SHIELDS	0.005*(6S-2+(2^S)+(L+(L>14)*2)*S)
60	DRAGON_LADY	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
61	DRAGON_LADY	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
62	DRAGON_LADY	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
63	DRAGON_LADY	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
64	DRAGON_LADY	ENERGY_WHEN_ATTACKED	0.27*(6S-2+(2^S)+(L+(L>14)*2)*S)
65	DRAGON_LADY	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
66	DRUIDINATRIX	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
67	DRUIDINATRIX	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
68	DRUIDINATRIX	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
69	DRUIDINATRIX	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
70	DRUIDINATRIX	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
71	DRUIDINATRIX	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
72	DUST_DEVIL	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
73	DUST_DEVIL	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
74	DUST_DEVIL	FIRE_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
75	DUST_DEVIL	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
76	DUST_DEVIL	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
77	DUST_DEVIL	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
78	DWARVEN_ARCHER	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
79	DWARVEN_ARCHER	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
80	DWARVEN_ARCHER	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
81	DWARVEN_ARCHER	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
82	DWARVEN_ARCHER	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
83	DWARVEN_ARCHER	CRIT_DAMAGE_BONUS	0.0024*(6S-2+(2^S)+(L+(L>14)*2)*S)
84	ELECTROYETI	INTELLECT	0.027*(6S-2+(2^S)+(L+(L>14)*2)*S)
85	ELECTROYETI	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
86	ELECTROYETI	ELECTRICAL_DMG_AMP	0.0007*(6S-2+(2^S)+(L+(L>14)*2)*S)
87	ELECTROYETI	MAGIC_POWER	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
88	ELECTROYETI	COOLDOWN_REDUCTION	0.0023*(6S-2+(2^S)+(L+(L>14)*2)*S)
89	ELECTROYETI	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
90	FAITH_HEALER	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
91	FAITH_HEALER	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
92	FAITH_HEALER	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
93	FAITH_HEALER	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
94	FAITH_HEALER	IMPROVE_HEALING	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
95	FAITH_HEALER	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
96	FROST_GIANT	INTELLECT	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
97	FROST_GIANT	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
98	FROST_GIANT	WATER_DMG_AMP	0.00105*(6S-2+(2^S)+(L+(L>14)*2)*S)
99	FROST_GIANT	MAGIC_POWER	0.072*(6S-2+(2^S)+(L+(L>14)*2)*S)
100	FROST_GIANT	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
101	FROST_GIANT	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
102	GROOVY_DRUID	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
103	GROOVY_DRUID	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
104	GROOVY_DRUID	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
105	GROOVY_DRUID	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
106	GROOVY_DRUID	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
107	GROOVY_DRUID	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
