	01/10/2019	01/07/2019	01/01/2019	12/26/2018	12/25/2018	12/17/2018	12/13/2018	12/10/2018	12/06/2018	12/03/2018	12/01/2018	11/29/2018	11/27/2018	11/26/2018	11/22/2018	11/19/2018	11/15/2018	11/13/2018	11/12/2018	11/08/2018	11/05/2018	11/01/2018	10/30/2018	10/29/2018	10/11/2018	10/08/2018	10/01/2018	09/24/2018	09/19/2018	09/17/2018	09/12/2018	09/01/2018	08/30/2018	08/27/2018	08/09/2018	08/06/2018	08/01/2018	07/19/2018	07/16/2018	07/01/2018	06/28/2018	06/25/2018	06/11/2018	06/06/2018	06/04/2018	06/01/2018	05/17/2018	05/14/2018	05/01/2018	04/26/2018	04/23/2018	04/05/2018	04/02/2018	04/01/2018	03/15/2018	03/12/2018	03/01/2018	02/22/2018	02/19/2018	02/01/2018	01/29/2018	01/11/2018	01/08/2018	01/01/2018	12/21/2017	12/18/2017	12/04/2017	12/01/2017	11/01/2017	10/30/2017	10/12/2017	10/09/2017	10/04/2017	10/01/2017	09/21/2017	09/18/2017	09/01/2017	08/31/2017	08/28/2017	08/10/2017	08/08/2017	08/07/2017	08/01/2017	07/20/2017	07/17/2017	07/01/2017	06/29/2017	06/27/2017	06/26/2017	06/15/2017	06/09/2017	06/07/2017	06/01/2017	05/11/2017	05/01/2017	04/28/2017	04/27/2017	04/21/2017
Release	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_18	R2_18	R2_18	R2_18	R2_18	R2_18	R2_18	R2_17	R2_17	R2_17	R2_17	R2_17	R2_16	R2_16	R2_16	R2_16	R2_16	R2_16	R2_16	R2_16	R2_15	R2_15	R2_15	R2_15	R2_15	R2_15	R2_14	R2_14	R2_14	R2_14	R2_14	R2_14	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10
Max Chapter	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	27	27	27	27	27	27	27	27	27	27	26	26	26	26	26	26	26	25	25	25	25	25	24	24	24	24	24	24	24	24	23	23	23	23	23	23	22	22	22	22	22	22	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	20	20	20	20	20	20	20	20	20	20
Max Expert Chapter	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0																																																				
Max TL	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	155	155	155	155	155	155	155	155	155	155	150	150	150	150	150	150	150	145	145	145	145	145	140	140	140	140	140	140	140	140	135	135	135	135	135	135	130	130	130	130	130	130	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	120	120	120	120	120	120	120	120	120	120
SIGNIN	WEE_WITCH	WEE_WITCH	WEE_WITCH	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	DIGGER_MOLE	DIGGER_MOLE	DIGGER_MOLE	DIGGER_MOLE	DIGGER_MOLE	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	ANGEL_DRAGON	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	UNICORGI	UNICORGI	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN
SOULCHEST	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	BURNT_ONE	BURNT_ONE	BURNT_ONE	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	ETERNAL_ENCHANTER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DRAGZILLA	DRAGZILLA	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE
FIGHT_PIT$0	BARDBARIAN	BARDBARIAN	BARDBARIAN	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	BROZERKER	BROZERKER	BROZERKER	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	BANSHEE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON
FIGHT_PIT$1	HYDRA	HYDRA	HYDRA	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	FROST_GIANT	FROST_GIANT	FROST_GIANT	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	DOPPELGANGER	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DRAGZILLA	DRAGZILLA	DRAGZILLA	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING
FIGHT_PIT$2	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	DARK_HORSE	DARK_HORSE	DARK_HORSE	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	SATYR	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE
GUILD_STORE$0	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	MEDUSA	MEDUSA	MEDUSA	MEDUSA	CRIMSON_WITCH	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	BURNT_ONE	BURNT_ONE	BURNT_ONE	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE
