	KEY	QUEST_TYPE	SORT_INDEX	ICON	BUTTON_ACTION	REWARD_1	REWARD_1_QTY	REWARD_2	REWARD_2_QTY	REWARD_3	REWARD_3_QTY	PREVIOUS_QUEST	UNLOCK_REQUIREMENTS	COMPLETE_REQUIREMENTS	VALUE	EXTRA	CAMPAIGN_TYPE	CAMPAIGN_CHAPTER	CAMPAIGN_LEVEL	GOOGLE_ID
1	MONTHLY_CARD	MONTHLY_CARD	0	quests_monthly_card		PAID_DIAMONDS	120						OncePerDay,HasMonthlyCard							
15	MONTHLY_CARD_CLAIMED	MONTHLY_CARD	19	quests_monthly_card									MonthlyCardClaimed,HasMonthlyCard	Never						
16	MONTHLY_CARD_UNPURCHASED	MONTHLY_CARD	0	quests_monthly_card	purchasing								DoesntHaveMonthlyCard	Never						
2	DAILY_STAMINA_1	FREE_STAMINA	2	quests_free_stamina		STAMINA	60+S						OncePerDay,After10am, Before12pmFinish	After12pm						
3	DAILY_STAMINA_2	FREE_STAMINA	2	quests_free_stamina		STAMINA	60+S						OncePerDay,After4pm, Before6pmFinish	After6pm						
4	DAILY_STAMINA_3	FREE_STAMINA	2	quests_free_stamina		STAMINA	60+S						OncePerDay,VIPDaily3Claimable	After9pmOrBefore1am						
5	DAILY_RAID_TICKETS	DAILY_QUEST	1	quests_daily_raids		RAID_TICKET	R						OncePerDay,VIP1							
6	DAILY_5_CHESTS	DAILY_QUEST	3	quests_chest_summons	chests			TEAM_XP	80				OncePerDay	DailyUses>=5		chest_any				
7	DAILY_3_POWER_POINTS	DAILY_QUEST	5	quests_skill_upgrades	skills	GOLD	2000*(1+0.112L)	TEAM_XP	60				OncePerDay,TL8	DailyUses>=3		skill_upgrade				
8	DAILY_10_CAMPAIGN_USES	DAILY_QUEST	4	quests_instance_finishes	campaign/NORMAL/latest	EXP_FLASK	3	TEAM_XP	120				OncePerDay	DailyUses>=10		campaign_any				
9	DAILY_3_FIGHT_PIT_USES	DAILY_QUEST	6	quests_arena_challenges	arena	GOLD	2000*(1+0.112L)	TEAM_XP	100				OncePerDay,TL10	DailyUses>=3		fightPit_any				
10	DAILY_3_ELITE_CAMPAIGN_USES	DAILY_QUEST	7	quests_elite_finishes	campaign/ELITE/latest	EXP_PHILTER	1	TEAM_XP	120				OncePerDay,TL11,Campaign0-18Win	DailyUses>=3		campaign_elite				
11	DAILY_GOLD_BUY	DAILY_QUEST	8	quests_alchemy	alchemy	GOLD	1000*(1+0.112L)	TEAM_XP	40				OncePerDay,TL12	DailyUses>=1		buy_gold				
12	DAILY_THE_SUMMIT	DAILY_QUEST	9	quests_mountain	theMountain	GOLD	1000*(1+0.112L)	TEAM_XP	100				OncePerDay,TL14	DailyUses>=2		theMountain				
13	DAILY_CHALLENGES	DAILY_QUEST	11	quests_challenges	challenges	GOLD	1000*(1+0.112L)	TEAM_XP	75				OncePerDay,TL20	DailyUses>=3		challenges				
14	DAILY_EXPEDITION	DAILY_QUEST	12	quests_expedition	expedition	GOLD	2000*(1+0.112L)	TEAM_XP	125				OncePerDay,TL25	DailyUses>=1		expedition_any				
