	STARS	RARITY
1	1	WHITE
2	1	WHITE
3	1	WHITE
4	1	WHITE
5	1	WHITE
6	1	WHITE
7	1	WHITE
8	1	WHITE
9	1	WHITE
10	1	GREEN
11	1	GREEN
12	1	GREEN
13	1	GREEN
14	1	GREEN
15	1	GREEN
16	1	GREEN
17	1	GREEN
18	1	GREEN
19	1	GREEN
20	1	GREEN
21	1	GREEN
22	1	GREEN
23	1	GREEN
24	1	GREEN
25	1	GREEN
26	1	GREEN_1
27	1	GREEN_1
28	1	GREEN_1
29	1	GREEN_1
30	1	GREEN_1
31	1	GREEN_1
32	1	GREEN_1
33	1	GREEN_1
34	1	GREEN_1
35	1	GREEN_1
36	1	BLUE
37	1	BLUE
38	1	BLUE
39	1	BLUE
40	1	BLUE
41	1	BLUE_1
42	1	BLUE_1
43	1	BLUE_1
44	1	BLUE_1
45	1	BLUE_1
46	1	BLUE_1
47	1	BLUE_1
48	1	BLUE_1
49	1	BLUE_1
50	1	BLUE_1
51	1	BLUE_2
52	1	BLUE_2
53	1	BLUE_2
54	1	BLUE_2
55	2	BLUE_2
56	2	BLUE_2
57	2	BLUE_2
58	2	BLUE_2
59	2	BLUE_2
60	2	BLUE_2
61	2	PURPLE
62	2	PURPLE
63	2	PURPLE
64	2	PURPLE
65	3	PURPLE
66	3	PURPLE
67	3	PURPLE
68	3	PURPLE
69	3	PURPLE
70	3	PURPLE
71	3	PURPLE_1
72	3	PURPLE_1
73	4	PURPLE_1
74	4	PURPLE_1
75	4	PURPLE_1
76	4	PURPLE_2
77	4	PURPLE_2
78	5	PURPLE_2
79	5	PURPLE_2
80	5	PURPLE_2
81	5	PURPLE_2
82	5	PURPLE_2
83	5	PURPLE_2
84	5	PURPLE_2
85	5	PURPLE_2
86	5	PURPLE_3
87	5	PURPLE_3
88	5	PURPLE_3
89	5	PURPLE_3
90	5	PURPLE_3
91	5	PURPLE_4
92	5	PURPLE_4
93	5	PURPLE_4
94	5	PURPLE_4
95	5	PURPLE_4
96	5	ORANGE
97	5	ORANGE
98	5	ORANGE
99	5	ORANGE
100	5	ORANGE
101	5	ORANGE_1
102	5	ORANGE_1
103	5	ORANGE_1
104	5	ORANGE_1
105	5	ORANGE_1
106	5	ORANGE_2
107	5	ORANGE_2
108	5	ORANGE_2
109	5	ORANGE_2
110	5	ORANGE_2
111	5	ORANGE_3
112	5	ORANGE_3
113	5	ORANGE_3
114	5	ORANGE_3
115	5	ORANGE_3
116	5	ORANGE_4
117	5	ORANGE_4
118	5	ORANGE_4
119	5	ORANGE_4
120	5	ORANGE_4
121	5	ORANGE_5
122	5	ORANGE_5
123	5	ORANGE_5
124	5	ORANGE_5
125	5	ORANGE_5
126	5	ORANGE_6
127	5	ORANGE_6
128	5	ORANGE_6
129	5	ORANGE_6
130	5	ORANGE_6
131	5	ORANGE_7
132	5	ORANGE_7
133	5	ORANGE_7
134	5	ORANGE_7
135	5	ORANGE_7
136	5	ORANGE_8
137	5	ORANGE_8
138	5	ORANGE_8
139	5	ORANGE_8
140	5	ORANGE_8
141	5	CYAN
142	5	CYAN
143	5	CYAN
144	5	CYAN
145	5	CYAN
146	5	CYAN_1
147	5	CYAN_1
148	5	CYAN_1
149	5	CYAN_1
150	5	CYAN_1
151	5	CYAN_2
152	5	CYAN_2
153	5	CYAN_2
154	5	CYAN_2
155	5	CYAN_2
156	5	CYAN_3
157	5	CYAN_3
158	5	CYAN_3
159	5	CYAN_3
160	5	CYAN_3
161	5	CYAN_4
162	5	CYAN_4
163	5	CYAN_4
164	5	CYAN_4
165	5	CYAN_4
166	5	CYAN_4
167	5	CYAN_4
168	5	CYAN_4
169	5	CYAN_4
170	5	CYAN_4
